HS부호,적용시작일자,적용종료일자,한글품목명,영문품목명,한국표준무역분류명,수량단위최대단가,중량단위최대단가,수량단위코드,중량단위코드,수출성질코드,수입성질코드,품목규격명,필수규격명,참고규격명,규격설명,규격사항내용,성질통합분류코드,성질통합분류코드명
2921436000,2022-01-01,2022-12-31,2-클로로-파라-톨루이딘-5-술폰산과 그 염,2-chloro-para-toluidine-5-sulfonic acid and its salts,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921437000,2022-01-01,2022-12-31,3-아미노-6-클로로톨루엔-4-술폰산과 그 염,3-amino-6-chlorotoluene-4-sulfonic acid and its salts,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
29214390,2016-01-01,2022-12-31,기타,Other,,,,,,,,,,,,,,
2921439010,2002-01-01,2022-12-31,톨루이딘,Toluidines,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921439090,2022-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921441000,2002-01-01,2022-12-31,디페닐아민,Diphenylamine,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921449000,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921451000,2002-01-01,2022-12-31,1-나프틸아민-4-술폰산과 그 염,1-naphthylamine-4-sulfonic acid and its salts,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
29214590,2016-01-01,2022-12-31,기타,Other,,,,,,,,,,,,,,
2921459010,2002-01-01,2022-12-31,1-나프틸아민(알파-나프틸아민)과 그 염,1-Naphthylamine (alpha-naphthylamine) and its salts,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921459020,2002-01-01,2022-12-31,2-나프틸아민(베타-나프틸아민)과 그 염,2-Naphthylamine (beta-naphthylamine) and its salts,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921459030,2002-01-01,2022-12-31,"2-나프틸아민-3,6,8-트리술폰산과 그 염","2-naphthylamine-3,6,8-trisulfonic acid and its salts",,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921459090,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921460000,2013-01-01,2022-12-31,"암페타민(INN)ㆍ벤즈페타민(INN)ㆍ덱스암페타민(INN)ㆍ에틸암페타민(INN)ㆍ펜캄파민(INN)ㆍ레페타민(INN)ㆍ레브암페타민(INN)ㆍ메페노렉스(INN)ㆍ펜터민(INN), 이들의 염","Amfetamine (INN), benzfetamine (INN), dexamfetamine (INN), etilamfetamine (INN), fencamfamin (INN), lefetamine (lNN), levamfetamine (INN), mefenorex (INN) and phentermine (INN); salts thereof",,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2921491000,2017-01-01,2022-12-31,농약원제(農藥原劑)( 농약관리법 에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),,0,0,,KG,41301,26901,,,,,,25020501,(농약)
